"","X","anime_id","name","genre","type","episodes","rating","members"
"7478",7531,12521,"Tentoumushi no Otomurai","Music","Music",1,5.34,309
"7757",7820,8604,"Oshiri Kajiri Mushi","Comedy, Music","Music",1,4.93,495
"10638",10838,30169,"Yubikiri","Music","Music",1,4.54,75
"7005",7053,8660,"Minarai Chameleon","Comedy, Kids, Music","Music",1,5.77,140
"7684",7745,8730,"Metropolitan Museum","Fantasy, Kids, Music","Music",1,5.07,242
"4213",4237,2953,"Egao","Music, Slice of Life","Music",1,6.77,8814
"9533",9688,30209,"Naze","Kids, Music","Music",1,4.27,42
"7567",7622,22059,"Kakumeiteki Broadway Shugisha Doumei","Music","Music",1,5.23,283
"7516",7569,8681,"Kitakaze Kozou no Kantarou","Music, Samurai","Music",1,5.28,254
"5086",5114,4890,"Peut-etre Toi","Music","Music",1,6.55,1532
"6821",6868,19185,"HORIZON feat. Hatsune Miku","Music","Music",1,5.88,1297
"6263",6302,3818,"Soratobu Toshi Keikaku","Music, Sci-Fi","Music",1,6.18,1163
"7996",8065,31874,"2002-nen Harmoni Ondo","Kids, Music","Music",1,4.77,79
"7860",7928,30092,"Wakie Wakie","Music","Music",1,4.62,192
"9288",9433,23129,"Mahou no Princess Minky Momo: Hitomi no Seiza - Minky Momo Song Special","Magic, Music, Shoujo","Music",1,5.49,147
"7032",7080,31880,"B Who I Want 2 B","Music","Music",1,5.74,413
"3140",3162,30903,"Children Record","Music","Music",2,7.06,745
"7639",7697,22427,"Computer Obaachan","Adventure, Comedy, Kids, Music, Sci-Fi, Space","Music",1,5.13,161
"7455",7508,32767,"Hane","Music","Music",1,5.36,97
"10400",10591,21711,"Torero Kamomiro","Kids, Music","Music",1,3.46,103
"7846",7913,10585,"Chuunen Punk","Music","Music",1,4.68,308
"9121",9256,34286,"KiyaKiya","Psychological","Music",1,5.67,26
"10216",10402,32868,"Spring Stranger","Music","Music",1,4.14,71
"7132",7180,15653,"Stay the Same","Kids, Music","Music",1,5.67,160
"6483",6526,32338,"Yes! BanG_Dream!","Music","Music",1,6.06,353
"7646",7704,30431,"Anata mo Robot ni Nareru feat. Kamome Jidou Gasshoudan","Music","Music",1,5.12,137
"8912",9030,32777,"Jitensha-hen","Music","Music",1,3.53,67
"7002",7050,6667,"Love to Live By","Music","Music",1,5.77,911
"335",337,731,"Interstella5555: The 5tory of The 5ecret 5tar 5ystem","Adventure, Drama, Music, Sci-Fi","Music",1,8.17,31464
"8679",8783,33059,"Hawaiian Rock&#039;n Roll","Kids, Music","Music",1,5.2,40
"7834",7901,31501,"Master Blaster","Dementia, Music","Music",1,4.71,165
"6511",6554,29778,"Himitsu Spark","Music","Music",1,6.06,367
"7635",7693,30074,"Symphonic Variations","Music","Music",1,5.14,121
"10552",10747,33866,"Wonder","Music, Space","Music",1,3.85,60
"6142",6181,3642,"Shina Dark: Kuroki Tsuki no Ou to Souheki no Tsuki no Himegimi","Ecchi, Fantasy, Harem, Music","Music",4,6.23,3730
"6609",6654,32750,"Ashita e Mukau Hito","Music","Music",1,6.02,105
"6534",6577,4158,"Dore Dore no Uta","Music","Music",1,6.05,1658
"10257",10444,32852,"Survivor","Music, Supernatural","Music",1,3.28,70
"10007",10185,33906,"Shangri-La (Music)","Music","Music",1,3.54,55
"5576",5608,21861,"Airy Me","Dementia, Drama, Horror, Music","Music",1,6.4,1561
"7429",7481,32811,"Black Ocean","Music","Music",1,5.38,83
"4588",4612,21451,"Nihonbashi Koukashita R Keikaku","Music","Music",1,6.68,1325
"9486",9637,31878,"Mukashi Toilet ga Kowakatta!","Kids, Music","Music",1,4.92,45
"8058",8129,32778,"Ame no Bus Stop-hen","Music","Music",1,3.67,74
"10260",10447,32907,"Susume! Shinji-kun","Kids, Music","Music",1,4.89,41
"2231",2243,12637,"Mo Gyutto Love de Sekkinchuu!","Music","Music",1,7.32,6713
"9983",10161,29744,"Seishun Midnight Runners: Shiosai","Music","Music",1,4.63,82
"4941",4968,21103,"Utopia","Music","Music",1,6.59,3519
"6875",6922,23029,"Popful Mail","Comedy, Fantasy, Music","Music",1,5.85,166
"7198",7247,22467,"Minihams no Ai no Uta","Kids, Music","Music",1,5.61,161
"7242",7291,32856,"Sayonara Space Shuttle","Music, Space","Music",1,5.57,93
"7804",7869,8646,"44-hiki no Neko","Kids, Music","Music",1,4.8,855
"3064",3086,8348,"Tengen Toppa Gurren Lagann: Parallel Works 2","Mecha, Music","Music",7,7.09,13361
"4078",4102,28789,"3-gatsu no Lion meets Bump of Chicken","Drama, Music, Seinen","Music",1,6.8,2160
"7607",7664,8778,"Avignon no Hashi de","Kids, Music","Music",1,5.17,234
"5916",5953,25641,"Monotonous Purgatory","Music","Music",1,6.3,515
"10021",10201,30201,"Shiawase no Tokei","Music","Music",1,4.35,73
"6440",6483,27789,"Yodaka no Hoshi (Music)","Drama, Fantasy, Music, Slice of Life","Music",1,6.1,478
"1949",1958,14951,"Wonderful Rush","Music","Music",1,7.4,6807
"7030",7078,25639,"Toilet no Kamisama","Music","Music",1,5.75,165
"6818",6865,32853,"7-kakan.","Music","Music",1,5.88,143
"6126",6165,28433,"Baymax","Drama, Music, Sci-Fi, Slice of Life","Music",1,6.23,651
"10526",10718,30083,"Warenai Tamago","Comedy, Kids, Music","Music",1,4.44,74
"6493",6536,13195,"Misenai Namida wa, Kitto Itsuka","Fantasy, Music","Music",1,6.07,279
"9737",9902,32073,"Otoshidama","Kids, Music","Music",1,4,39
"10397",10588,32855,"Tonight","Music","Music",1,4.85,91
"6001",6039,4129,"Mahou no Tenshi Creamy Mami: Curtain Call","Comedy, Music, Shoujo","Music",1,6.27,298
"5823",5859,33326,"Aftermath","Drama, Military, Music","Music",1,6.33,258
"2484",2497,23043,"Re Boot","Drama, Music, School, Slice of Life","Music",1,7.25,1544
"7724",7787,30427,"Mr. Empty","Music","Music",1,5.01,92
"7186",7235,12993,"Sono Mukou no Mukougawa","Music","Music",1,5.62,267
"7018",7066,30425,"Wake Up! Dodo","Music","Music",1,5.76,140
"6427",6469,31977,"Hanabi","Drama, Music, Romance, Slice of Life","Music",1,6.1,162
"7040",7088,8704,"Uchuu Hikoushi no Uta","Fantasy, Kids, Music","Music",1,5.74,351
"7754",7817,32779,"Anygedybudybombom","Music","Music",1,4.93,92
"7595",7652,28197,"Ofuro no Kazoe Uta","Kids, Music","Music",1,5.19,130
"7563",7618,21833,"Higenashi Gogejabaru","Comedy, Fantasy, Kids, Music","Music",1,5.23,149
"7895",7963,18561,"Mahou no Hiroba","Music","Music",1,4.43,182
"7247",7296,32854,"Fr/day Night","Comedy, Music","Music",1,5.57,167
"5786",5822,20929,"Galo Sengen","Music","Music",1,6.34,586
"7902",7970,33696,"3D Onara Gorou ga Dance Dance Dance!!","Comedy, Music","Music",1,4.39,624
"7425",7477,14023,"R²: Rise R to the Second Power","Music","Music",1,5.39,240
"7645",7703,8732,"Yuuki Hitotsu wo Tomo ni Shite","Music","Music",1,5.13,202
"7813",7879,17151,"Mogu Mogu","Music","Music",1,4.79,217
"10488",10680,29153,"Usagi to Kame (Music)","Music","Music",1,4.22,83
"3304",3326,1890,"Clover","Drama, Fantasy, Music, Sci-Fi, Shoujo","Music",1,7.02,8524
"6947",6994,33912,"Gakuen Handsome: Haitoku no Lesson","Comedy, Music","Music",2,5.79,316
"10642",10842,31872,"Yukidaruma Kazoku","Kids, Music","Music",1,5.25,40
"4613",4637,31048,"Burenai Ai de","Music","Music",1,6.67,522
"4663",4687,32446,"MONSTER GENERATiON","Music","Music",1,6.66,468
"7280",7329,22473,"Pi~hyara Kouta","Kids, Music","Music",1,5.54,128
"7521",7575,30241,"Umo","Music","Music",1,5.28,107
"9250",9392,32784,"Lina Poe Poe","Music","Music",1,3.93,69
"8937",9056,32473,"Kabocha no Oji-san","Kids, Music","Music",1,4.75,38
"4330",4354,1998,"Amazing Nuts!","Adventure, Music, Police, Romance, Sci-Fi","Music",4,6.74,6650
"7279",7328,31641,"Niedola","Music","Music",1,5.54,131
"6951",6998,22293,"Mahou no Yousei Persia: Escape!","Music","Music",1,5.8,192
"3015",3035,6749,"Prince of Tennis: The Band of Princes Film Kick the Future","Action, Music","Music",1,7.1,3826
"4767",4792,32311,"Beautiful World","Action, Drama, Mecha, Music, Sci-Fi","Music",1,6.62,1215
"7261",7310,19217,"And And","Music","Music",1,5.55,470
"7663",7723,30424,"Instant Music","Music","Music",1,5.1,164
"6640",6685,20913,"6♥Princess","Magic, Music","Music",1,5.99,1807
"4510",4534,30103,"Precure All Stars Movie: Haru no Carnival♪ - Ima Koko kara","Fantasy, Magic, Music, Shoujo","Music",1,6.7,501
"532",534,17949,"The Everlasting Guilty Crown","Music","Music",1,8,11663
"7613",7670,29107,"Banana Mura ni Ame ga Furu","Kids, Music","Music",1,5.16,113
"4325",4349,12935,"Utakata Hanabi","Music","Music",1,6.75,1375
"7169",7218,29353,"Kimi wa Tomodachi","Adventure, Fantasy, Music","Music",1,5.63,99
"7551",7606,30073,"Onaka no Ookina Ouji-sama","Music","Music",1,5.25,115
"2624",2638,9907,"Bokura no Live Kimi to no Life","Music","Music",1,7.2,10426
"4966",4994,7295,"Koi Tsubomi","Fantasy, Music","Music",1,6.58,1242
"6646",6691,4012,"First Squad","Action, Music","Music",1,5.99,4946
"7364",7415,8717,"Kumo ga Haretara","Music","Music",1,5.45,297
"7651",7710,21891,"Natsumi Step!","Music","Music",1,5.12,136
"2830",2849,32030,"MEMORiES MELODiES","Music","Music",1,7.15,699
"6876",6923,3821,"Portable Kuukou","Music, Sci-Fi","Music",1,5.85,1515
