"","X","anime_id","name","genre","type","episodes","rating","members"
"8469",8561,33872,"Fujinkoron-senpai","Comedy","ONA",1,4.4,64
"7281",7330,31624,"Tomato ni Natta Otokonoko","Kids","ONA",1,5.54,190
"1905",1912,10711,"Plastic Neesan","Comedy, School","ONA",12,7.41,83977
"9426",9574,32251,"Mirai e no Kakehashi: Bridge for Future","Slice of Life","ONA",6,5.18,282
"6623",6668,8706,"SOS TV Walpurgis Night Fever","Comedy, Sci-Fi","ONA",11,6.01,422
"4701",4725,33309,"Jie Mo Ren","Action, Fantasy, Mystery, Supernatural","ONA",14,6.65,942
"3468",3490,25045,"Barakamon: Mijikamon","Comedy","ONA",13,6.97,18119
"7377",7429,7569,"Idol Ace","Comedy","ONA",1,5.44,559
"1060",1065,33605,"Ling Qi","Action, Comedy, Magic, Supernatural","ONA",20,7.69,2673
"9848",10024,34118,"Pride","Slice of Life","ONA",1,4.89,35
"7727",7790,24847,"Ichigeki Sacchuu!! Hoihoi-san: Legacy","Comedy, Sci-Fi","ONA",1,5,475
"5920",5957,29035,"Robot Girls Z Plus","Comedy, Mecha, Parody","ONA",6,6.3,3863
"7070",7118,31618,"Kanojo ga Kanji wo Suki na Riyuu.","School, Slice of Life","ONA",2,5.71,449
"4675",4699,10384,"Sono Hanabira ni Kuchizuke wo: Reo x Mai Diaries","Comedy, Romance, School, Shoujo Ai","ONA",10,6.66,5125
"9550",9709,30647,"Nemuranu Machi no Cinderella: Hirose Ryouichi - Memorial Date","Romance","ONA",1,5.24,255
"10307",10495,32149,"Tatsunoko Pro x Peeping Life","Comedy, Slice of Life","ONA",2,5,75
"7948",8017,22377,"Wonder Momo","Action, Game, Martial Arts, School","ONA",5,3.9,3218
"9123",9258,34120,"Kizuna (ONA)","Drama","ONA",1,5.13,31
"6920",6967,13427,"PES: Peace Eco Smile","Slice of Life, Space","ONA",7,5.82,2487
"4925",4952,5164,"Macross 25th Anniversary: All That VF Macross Zero Version","Action, Mecha, Sci-Fi","ONA",1,6.59,2062
"9111",9246,33858,"Kissaten Soudou","Comedy","ONA",1,3.46,34
"10051",10233,22657,"Shin Seikimatsu: Yatsuto no Souguu","Comedy, Sci-Fi","ONA",5,4.9,73
"4619",4643,10118,"Ginga Tetsudou 999: Jikuu wo Koeta Energy no Tabi","Adventure, Drama, Sci-Fi","ONA",5,6.67,378
"6424",6466,14537,"Cinnamon no Parade","Fantasy","ONA",1,6.1,186
"9174",9312,33854,"Kosys! Lite: Tsuyoku Suishou Bansaku no Sunglasses - Password Tsukai-mawashi no Jutsu","Comedy, Slice of Life","ONA",1,5.4,48
"9842",10018,27465,"Pororo Hanguk-e Wass-eoyo","Adventure, Kids","ONA",1,4.55,64
"6152",6191,10354,"Kakomareta Sekai","Drama","ONA",1,6.22,786
"9487",9638,33694,"Mukidashi no Koushi","Comedy, Music","ONA",1,4,83
"7978",8047,11897,"Nendo no Tatakai","Comedy, Fantasy","ONA",1,3.36,1174
"7701",7764,4266,"Vie Durant","Drama, Sci-Fi, Vampire","ONA",8,5.05,794
"4565",4589,11103,"Busou Shinki Moon Angel","Action, Sci-Fi","ONA",10,6.68,9743
"4247",4271,7805,"Baka to Test to Shoukanjuu: Mondai - Christmas ni Tsuite Kotae Nasai","Comedy, Romance","ONA",1,6.76,28032
"6270",6309,29876,"Chu Feng: B.E.E","Action, Comedy, Fantasy, Mecha, Romance, School, Sci-Fi","ONA",6,6.17,11481
"5085",5113,3535,"Neko Ramen","Comedy","ONA",13,6.55,2059
"6430",6472,31865,"Kare Baka: Wagahai no Kare wa Baka de R","Comedy, Romance, School","ONA",8,6.1,4391
"3495",3517,14751,"Bishoujo Senshi Sailor Moon Crystal","Demons, Magic, Romance, Shoujo","ONA",26,6.96,69702
"6529",6572,19133,"Turning Girls","Comedy, Slice of Life","ONA",7,6.06,4588
"2222",2234,16774,"Inferno Cop","Action, Police","ONA",13,7.32,37500
"7443",7495,31108,"Green Dakara x Bakemono no Ko","Music","ONA",2,5.38,1086
"3988",4012,7229,"Black Jack ONA","Drama","ONA",12,6.82,1297
"3491",3513,21065,"Yakusoku (ONA)","Drama, Music","ONA",1,6.97,615
"10550",10745,33357,"Wo Jiao Bai Xiaofei","Action, Comedy, Horror","ONA",39,7.2,163
"5868",5904,28381,"Monster High: Kowa-ike Girls","Kids, Shoujo, Supernatural","ONA",8,6.32,244
"6926",6973,16936,"Boku no Imouto wa &quot;Osaka Okan&quot;: Haishin Gentei Osaka Okan.","Comedy","ONA",1,5.81,2738
"7319",7370,21107,"Buddy Spirits","Action, Mecha","ONA",1,5.49,343
"2970",2990,31233,"Lu Shidai","Action, Adventure, Comedy, Game, Parody","ONA",14,7.11,1762
"9774",9945,33789,"Peeping Life x Sanyo","Comedy, Slice of Life","ONA",4,4.73,101
"9548",9707,29851,"Nekoronde Mite ne.","Comedy","ONA",14,3.43,54
"7541",7596,2967,"Saishuu Shiken Kujira","Comedy, Ecchi, Mystery, School, Supernatural","ONA",12,5.26,3264
"4893",4920,22785,"Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou","Comedy, Romance, School, Shoujo Ai, Slice of Life","ONA",10,6.6,2291
"2558",2572,1576,"Bakumatsu Kikansetsu Irohanihoheto","Action, Drama, Historical, Samurai","ONA",26,7.22,28097
"6246",6285,20355,"Zeonic Toyota Special Movie","Cars","ONA",2,6.19,1251
"6282",6322,5085,"Nakedyouth","Romance, Shounen Ai, Slice of Life, Sports","ONA",1,6.17,4125
"9297",9442,30094,"Majin Sentai Death Ranger: Ubawareta Pudding!","Action, Comedy","ONA",1,3.79,111
"4271",4295,16718,"SKET Dance: SD Character Flash Anime","Comedy, School, Shounen","ONA",16,6.76,2017
"2473",2486,15359,"Kyousou Giga (2012)","Action, Fantasy, Supernatural","ONA",5,7.25,17584
"3104",3126,31105,"Buddy Complex: Daremo Shiranai Ashita e","Action, Mecha, Sci-Fi","ONA",1,7.07,987
"8091",8166,24809,"Arigatou Kumanofu","Comedy","ONA",11,4,69
"9777",9948,22635,"Peeping Life: Tezuka Pro - Tatsunoko Pro Wonderland ONA","Comedy, Parody","ONA",4,4.12,120
"7581",7637,9689,"Agukaru","Magic, Slice of Life, Supernatural","ONA",5,5.21,955
"10444",10636,33086,"Uchuu Neko: Mardock no Bouken","Adventure, Comedy, Space","ONA",4,3.82,70
"1762",1769,33969,"Shuangsheng Lingtan","Mystery, Psychological","ONA",20,7.45,1227
"5957",5994,4419,"Catman","Comedy, Fantasy, Slice of Life","ONA",7,6.28,1555
"8441",8533,34140,"Eyedrops","Space","ONA",4,4.83,65
"3302",3324,3456,"Candy☆Boy: Side Story For Archive","Romance, School, Shoujo Ai","ONA",1,7.02,20294
"6764",6810,32735,"Persona 3 the Movie Meets “Walkman”","Drama","ONA",1,5.91,937
"7744",7807,33119,"Tokyogurashi!","Music, Parody","ONA",1,4.97,1331
"7725",7788,32295,"Ai Sky Tree 21","Action","ONA",1,5,137
"7352",7403,1725,"Keitai Shoujo","Comedy, Drama, Romance, School","ONA",6,5.46,3655
"7934",8003,31689,"Requiem (ONA)","Dementia","ONA",1,4.11,334
"7872",7940,13543,"Nantokashite Alguard","Comedy","ONA",1,4.55,211
"9827",10003,31647,"Ponkotsuland Saga","Comedy, Parody","ONA",1,3.41,140
"10639",10839,15657,"Yuke! Shouei-kun","Comedy","ONA",6,3.67,86
"7191",7240,8701,"Apartment!","Comedy, Slice of Life","ONA",1,5.61,819
"7446",7498,31512,"Love &amp; Gift","Slice of Life","ONA",1,5.37,155
"7587",7643,5322,"Mugen Kouro","Action, Sci-Fi, Space","ONA",4,5.21,891
"6502",6545,25875,"Wake Up, Girl Zoo!","Comedy","ONA",10,6.07,3308
"9874",10051,29937,"Qin Shiming Yue Zhi: Luosheng Tangxia","Action, Fantasy, Historical, Martial Arts","ONA",1,6.05,131
"9849",10025,24811,"Prison Bear","Comedy","ONA",1,3.39,92
"3240",3262,30514,"Nisekoimonogatari","Music","ONA",1,7.04,17116
"10075",10259,22683,"Shiroishi no Yousei Pichi","Fantasy, Historical, Kids","ONA",3,4.53,104
"8328",8411,33534,"Curly","Comedy","ONA",1,4.7,54
"4879",4906,5165,"Macross 25th Anniversary: All That VF Macross F Version","Action, Mecha, Sci-Fi","ONA",1,6.6,2219
"6669",6714,9205,"Kaichuu!","Comedy, Seinen, Sports","ONA",4,5.98,6941
"4971",4999,34475,"Monster Strike: Rain of Memories","Action, Fantasy, Game","ONA",1,6.58,313
"6668",6713,7466,"Hashire!","Comedy","ONA",1,5.98,556
"5501",5532,13563,"The Four Seasons","Slice of Life","ONA",4,6.42,1190
"5087",5115,31911,"Pokemon Fushigi no Dungeon: Magnagate to Mugendai Meikyu","Adventure, Fantasy, Kids","ONA",2,6.55,624
"7432",7484,15389,"Kremlin","Comedy, Seinen","ONA",5,5.38,458
"7290",7340,33692,"Shigeo wa Handsome","Comedy, Drama","ONA",1,5.53,119
"10282",10469,30153,"Takarakuji x Rope","Comedy, Slice of Life","ONA",5,3.57,63
"5041",5069,23605,"Ninja Slayer From Animation","Action","ONA",26,6.56,26062
"6435",6477,31072,"Show By Rock!!: Legend of Shingan Crimsonz","Comedy, Music","ONA",3,6.1,516
"2385",2398,10842,"Fullmetal Alchemist: The Sacred Star of Milos Specials","Comedy, Fantasy, Magic","ONA",4,7.27,11981
"10012",10190,26007,"SheepWolf","Comedy, Kids","ONA",1,4.54,65
"3483",3505,6890,"Ontama!","Comedy, Magic, Seinen, Slice of Life","ONA",5,6.97,1653
"3939",3963,10532,"Working&#039;!! Announcement Specials","Comedy","ONA",2,6.84,8973
"9900",10077,31302,"Robo to Shoujo (Kari): Oshirase Gekijou (Kari)","Comedy, Sci-Fi","ONA",5,3.81,127
"8692",8796,18389,"Heisei Policemen!!","Comedy, Police","ONA",6,5.78,147
"9248",9389,22421,"Licca-chan to Mahou no Kuni","Fantasy, Kids","ONA",7,4.38,72
"9741",9908,30905,"Owanko","Comedy","ONA",7,5.17,65
"6985",7033,30463,"Kyoufu Shinbun (2014)","Demons, Fantasy, Horror, Supernatural","ONA",16,5.78,640
"10528",10721,33791,"Warui no wo Taose!! Salaryman Man","Comedy, Parody","ONA",1,5.04,74
"9356",9502,30781,"Matsubara-kun","Comedy","ONA",5,4.59,84
"1256",1261,33091,"Planetarian: Chiisana Hoshi no Yume","Drama, Sci-Fi","ONA",5,7.61,38303
"7416",7468,25377,"TOTO Green Challenge","Slice of Life","ONA",1,5.4,115
"7354",7405,28717,"Luigi&#039;s Toy Adventure","Adventure","ONA",1,5.46,455
"6522",6565,31362,"Osiris no Tenbin","Drama, Supernatural, Thriller","ONA",10,6.06,1447
"7396",7448,21607,"Picotopia","Fantasy, Music","ONA",1,5.42,547
"7807",7872,32288,"Jingle","Fantasy","ONA",1,4.8,214
"4927",4954,17637,"Miyakawa-ke no Kuufuku","Slice of Life","ONA",10,6.59,12077
"2963",2983,30925,"Gatchaman Crowds Insight: Inbound","Adventure, Sci-Fi","ONA",1,7.11,14786
"6469",6512,31064,"Gunslinger Stratos: The Animation - Kikan/Kaze no Yukue","Action, Sci-Fi","ONA",1,6.08,1348
"7413",7465,14743,"Nara Shika Monogatari","Comedy","ONA",1,5.4,228
"9979",10157,33163,"Seishain Cyborg 003","Comedy","ONA",2,4.39,155
"5965",6003,33808,"Girlfriend (Note)","Music, School","ONA",3,6.28,1942
"7338",7389,13515,"Neo Satomi Hakkenden: Satomi-chanchi no Hachi Danshi","Comedy","ONA",1,5.48,354
"7677",7737,21335,"Double Circle","Sci-Fi, Super Power","ONA",6,5.08,4249
"6904",6951,33549,"Mame-Mofu Collab Animation","Comedy","ONA",1,5.83,119
"7194",7243,10801,"Copihan","Comedy, School, Sci-Fi","ONA",7,5.61,6167
"8116",8192,26017,"Backkom Specials","Comedy, Kids, Super Power","ONA",8,6.23,93
"9179",9317,33226,"Kotowaza Gundam-san","Comedy, Mecha, Parody","ONA",17,6.13,200
"10685",10887,32557,"Zombie Clay Animation: I&#039;m Stuck!!","Comedy, Horror","ONA",4,4.33,72
"7233",7282,21471,"Mirai Koushi Harima SACLA","Music, Sci-Fi","ONA",1,5.58,577
"5835",5871,12433,"Kyokugen Dasshutsu Adv: Zennin Shibou Desu Prologue","Mystery","ONA",1,6.33,2609
"5748",5783,7230,"Hoshi ni Negai wo: Cold Body + Warm Heart","Adventure, Sci-Fi","ONA",1,6.35,1217
"7654",7713,18047,"Seiyuu Deka","Comedy, Magic","ONA",1,5.12,170
"6820",6867,8526,"Honey Tokyo","Sci-Fi","ONA",1,5.88,1410
"8125",8202,33708,"Baku Tech! Bakugan Gachi: Tokubetsu-hen","Action, Game, Shounen","ONA",1,5.93,111
"6615",6660,22983,"Hipira-kun ONA","Comedy, Fantasy, Kids, Supernatural, Vampire","ONA",2,6.01,318
"7976",8045,11883,"Nendo no Tatakai 2","Comedy, Fantasy","ONA",1,3.46,1042
"9696",9861,28185,"Oniku Daisuki! Zeushi-kun 2nd Season","Comedy","ONA",6,5.05,92
"3728",3752,29087,"Wangpai Yushi","Comedy, Fantasy, School, Shounen, Supernatural","ONA",39,6.9,1184
"701",704,32863,"Ansatsu Kyoushitsu (TV) 2nd Season: Kagaijugyou-hen","Action, Comedy, School, Shounen","ONA",8,7.88,7999
"7083",7131,20869,"Nulu-chan to Boku","Comedy, Fantasy","ONA",1,5.7,141
"9697",9862,32666,"Oniku Daisuki! Zeushi-kun: Suteki na Hamburger","Comedy","ONA",1,4.31,63
"9624",9784,33283,"Nude Batter Tetsuo","Comedy, Sports","ONA",1,3.83,106
"5030",5058,34213,"Getsuyoubi no Tawawa","Slice of Life","ONA",12,6.56,16663
"9966",10143,33860,"Saru Kani Gassen (Yokoku)","Historical","ONA",1,2.84,38
"7695",7756,8968,"Shogi Hour","Comedy, Game, Parody","ONA",1,5.06,416
"4101",4125,27857,"Madan no Ou to Vanadis: Tigre-kun to Vanadi-chu","Comedy","ONA",14,6.8,8472
"7906",7974,31685,"Okaasan ni Naisho","Comedy, Ecchi","ONA",1,4.38,308
"8792",8900,5207,"Hokuro Kyoudai Full Throttle!!!!","Comedy","ONA",7,3.97,127
"7918",7987,11869,"Bloody Night","Horror, Psychological, Supernatural, Thriller","ONA",1,4.26,1292
"7986",8055,31634,"Kokuhaku","Horror","ONA",1,2.67,816
"8224",8307,29821,"Channel 5.5","Comedy, Parody","ONA",4,5.32,196
"6595",6639,17397,"Cyclops Shoujo Saipuu","Comedy, Ecchi, School, Slice of Life","ONA",12,6.02,15329
"7220",7269,31807,"Sugio: Mori de Koi wo Shite","Comedy","ONA",3,5.59,101
"9771",9942,29729,"Peeping Life x IODATA: Quiz!! Input Output","Comedy","ONA",8,3.72,117
"7596",7653,32296,"Present Made no Michinori","Action, Music","ONA",1,5.19,178
"420",422,32613,"Elsword: El Lady","Action, Fantasy","ONA",12,8.11,3846
"6226",6265,33522,"Chiba Pedal: Yowamushi Pedal to Manabu Jitensha Koutsuuanzen","Shounen, Sports","ONA",6,6.2,1867
"8591",8690,30796,"Gokudou Sakaba Denden: Gokudou Daisensou Gaiden","Comedy","ONA",3,5.5,60
"8917",9035,29752,"JU Chuuko Jidousha Hanbaishi x Peeping Life","Comedy, Slice of Life","ONA",2,3.59,123
"10395",10586,33702,"Tong Zhi Zhe","Adventure, Horror","ONA",10,6.5,85
"7966",8035,11689,"CCW: Crazy Clay Wrestling","Sports","ONA",1,3.68,1030
"1021",1026,33350,"Zhen Hun Jie","Action, Supernatural","ONA",24,7.72,2480
"10603",10800,32642,"Yanesenondo","Music","ONA",1,4.07,59
"9875",10052,29935,"Qin Shiming Yue Zhi: Tian Xing Jiu Ge","Action, Fantasy, Historical, Martial Arts","ONA",3,7.07,194
"7870",7938,29971,"Landmark","Dementia","ONA",1,4.56,109
"9173",9311,23733,"Kosys! Kochira Keihime Tetsudou: Kouhou System-ka","Comedy, Slice of Life","ONA",2,4.6,189
"8445",8537,33759,"Feng Wei Ying Xiong","Action, Fantasy","ONA",12,7.19,53
"4178",4202,32287,"Kanamewo","Drama, Romance, Shoujo Ai, Supernatural","ONA",1,6.79,3581
"10627",10826,33763,"Yong Zhe Da Mao Xian 2nd Season","Adventure, Fantasy","ONA",26,7,47
"7664",7724,32739,"JRA Hokan Keikaku","Action, Mecha","ONA",3,5.1,924
"8742",8846,4417,"Hennako-chan","Comedy","ONA",6,6.04,129
"546",548,15195,"Hetalia: The Beautiful World","Comedy, Historical, Parody","ONA",20,7.98,34960
