"","X","anime_id","name","genre","type","episodes","rating","members"
"11638",12091,3377,"Tres Marias: Sannin no Sei Shojo","Hentai","OVA",2,5.57,1003
"5107",5135,12685,"Code Geass: Nunnally in Wonderland","Comedy, Fantasy, Parody","OVA",1,6.54,37087
"9145",9281,26345,"Kogitsune no Okurimono","Drama, Fantasy, Kids","OVA",1,6.5,52
"6170",6209,9944,"Hime Gal♥Paradise","Shoujo","OVA",9,6.21,563
"9982",10160,10045,"Seishun Fuufu Monogatari: Koiko no Mainichi","Comedy, Drama, Ecchi, Romance, Seinen","OVA",2,6.22,162
"10784",11212,4358,"Aniyome wa Ijippari","Hentai","OVA",2,7.08,7882
"10730",11153,5097,"Hatsu Inu 2 The Animation: Strange Kind of Woman - Again","Hentai","OVA",2,7.29,8112
"7067",7115,2053,"Capricorn","Adventure, Comedy, Fantasy, Sci-Fi, Shounen","OVA",1,5.71,1207
"7989",8058,13405,"Utsu Musume Sayuri","Comedy, Dementia","OVA",1,2.14,4047
"10821",11252,5784,"Ai no Kusabi (2012)","Drama, Romance, Sci-Fi, Yaoi","OVA",4,6.97,17943
"1599",1606,2585,"Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots","Drama, Mecha, Military, Sci-Fi","OVA",1,7.49,2049
"6672",6717,3235,"Magma Taishi","Action, Sci-Fi, Shounen, Space, Super Power","OVA",13,5.98,421
"11014",11457,5603,"Shin Ringetsu","Drama, Hentai, Supernatural","OVA",2,6.59,2295
"10987",11429,10546,"Rinkan Club","Hentai","OVA",4,6.63,3107
"9375",9521,26271,"Meiji Ishin wo Tsukuriageta Hitobito","Drama, Historical, Kids, Samurai","OVA",1,5,52
"11473",11924,9939,"Kunoichi Sakuya","Hentai","OVA",2,5.89,1218
"8566",8662,26283,"Gin no Rousokutate","Drama, Kids","OVA",1,4.36,104
"10777",11205,21925,"Chichiiro Toiki","Hentai","OVA",2,7.1,4124
"9326",9472,30139,"Manga Doushite Monogatari OVA","Adventure, Comedy, Kids","OVA",2,5.44,49
"5603",5635,1500,"Teizokurei Daydream","Comedy, Drama, Ecchi, Horror, Supernatural","OVA",4,6.4,5305
"4576",4600,31675,"Haikyuu!! Quest Picture Drama","Comedy, Fantasy, Game, Shounen","OVA",3,6.68,3297
"5967",6005,11005,"Holy Knight","Ecchi, Fantasy, School, Seinen, Supernatural, Vampire","OVA",2,6.28,20589
"11338",11789,2469,"Ogenki Clinic","Comedy, Hentai, Yuri","OVA",3,6.1,1173
"4044",4068,26183,"Ikkitousen: Extravaganza Epoch","Action, Ecchi, Martial Arts, School, Seinen, Super Power","OVA",2,6.81,4711
