"","X","anime_id","name","genre","type","episodes","rating","members"
"1842",1849,28405,"Ansatsu Kyoushitsu (TV): Deai no Jikan","Action, Comedy, School, Shounen","Special",1,7.42,29382
"3371",3393,20021,"Sword Art Online: Extra Edition","Action, Adventure, Fantasy, Game, Romance","Special",1,7,121722
"7789",7854,8647,"Self-Portrait","Comedy, Demons","Special",1,4.86,435
"3207",3229,10923,"Tantei Opera Milky Holmes: Summer Special","Comedy, Mystery, Super Power","Special",1,7.05,5050
"8358",8444,9869,"Din Dong","Comedy, Parody","Special",1,5.18,80
"9506",9660,25083,"Nanatsu no Umi no Tico Specials","Adventure, Slice of Life","Special",2,6.78,137
"8157",8235,33950,"Black Clover","Action, Comedy, Fantasy, Magic, Shounen","Special",1,8.6,2247
"6216",6255,32816,"Teekyuu 6 Specials","Comedy, Shounen, Sports","Special",2,6.2,677
"4237",4261,28063,"Sword Art Online II: Sword Art Offline II","Comedy","Special",9,6.77,19677
"2907",2926,10819,"Ranma ½: Tendou-ke no Oyobidenai Yatsura!","Comedy, Martial Arts, Slice of Life","Special",1,7.13,2077
"6129",6168,25567,"DRAMAtical Murder OVA: Data_xx_Transitory","Drama, Psychological, Sci-Fi, Shounen Ai","Special",1,6.23,12469
"2117",2129,24029,"Shijou Saikyou no Deshi Kenichi Specials","Action, Comedy, Martial Arts, School, Shounen","Special",4,7.35,4258
"6553",6596,33548,"Babyshiba","Comedy","Special",6,6.04,129
"9640",9803,28101,"Obatalian","Comedy","Special",1,4.75,63
"3358",3380,20423,"Kamisama no Inai Nichiyoubi: Kioku","Fantasy, Mystery","Special",1,7.01,18722
"10476",10668,20225,"Umigame to Shounen","Drama, Historical","Special",1,6.55,90
"2378",2391,5196,"Aria The Origination Picture Drama","Fantasy, Sci-Fi, Shounen, Slice of Life","Special",7,7.27,7014
"686",689,13629,"Furiko","Drama, Music, Romance, Slice of Life","Special",1,7.89,8809
"6078",6117,10301,"Rio: Rainbow Gate! Special","Comedy, Ecchi, Game","Special",1,6.25,3037
"4715",4740,4910,"Pokemon: Pikachu no Wanpaku Island","Adventure, Comedy, Fantasy, Kids","Special",1,6.65,6379
"6911",6958,32564,"Tokiwa Kitareri!!","Action, Magic, Shounen","Special",1,5.83,176
"8518",8614,9886,"Ganbare! Moudouken Serve","Slice of Life","Special",1,5.8,92
"1956",1965,2634,"Doraemon: Doraemon Comes Back","Comedy, Fantasy, Kids, Sci-Fi, Shounen","Special",1,7.39,723
"10279",10466,13435,"Taka no Tsume NEO Announcement Movie","Comedy, Parody, Super Power","Special",1,4.23,109
"8536",8632,24677,"Gegege no Kitarou: Kitarou Tanjou-hen","Supernatural","Special",1,5.13,103
"9518",9672,24549,"Naniwabushi Daisuki","Drama, Historical, Sports","Special",1,7,49
"3833",3857,12027,"Anne no Nikki: Anne Frank Monogatari","Drama, Historical","Special",1,6.86,385
"9761",9932,22591,"Patalliro Saiyuuki! Special","Adventure, Comedy, Fantasy, Shoujo, Shounen Ai","Special",1,5.75,183
"2037",2048,19619,"Jewelpet Twinkle☆: Hohoemi no Niji ni Dokki☆Doki!","Fantasy, Magic, School, Shoujo","Special",1,7.37,555
"5658",5692,9731,"Nurarihyon no Mago Recaps","Action, Demons, Shounen, Supernatural","Special",2,6.38,9781
"6601",6645,28959,"Kizuna (Special)","Drama, Romance, Slice of Life","Special",1,6.02,394
"2266",2278,6999,"Prince of Tennis: Another Story - Messages From Past and Future OVA Bonus","Comedy, Sports","Special",2,7.31,4495
"3462",3484,10549,"Precure All Stars GoGo Dream Live!","Action, Fantasy, Magic, Shoujo","Special",1,6.98,1642
"3008",3028,3484,"Maison Ikkoku: Prelude - Meguru Haru no Sakura no you ni...","Comedy, Drama, Romance","Special",1,7.1,1672
"5509",5540,9591,"Code Geass: Hangyaku no Lelouch R2: Flash Specials","Parody","Special",9,6.42,9291
"4807",4832,33069,"Dimension W Special","Sci-Fi, Seinen","Special",1,6.62,4593
"6083",6122,11099,"Tiger &amp; Bunny Pilot","Action, Comedy, Super Power","Special",1,6.25,5936
"7634",7692,17159,"Peeping Life Specials","Comedy, Slice of Life","Special",2,5.14,260
"1612",1619,15927,"Carnival Phantasm: HibiChika Special","Comedy, Supernatural","Special",1,7.48,14893
"3853",3877,25259,"Persona 4 the Animation: A Brief Lesson on Izanagi &amp; Izanami","School","Special",1,6.86,2497
"2112",2124,30714,"Owari no Seraph: Owaranai Seraph","Comedy, Police, Shounen, Supernatural, Vampire","Special",9,7.35,22823
"3035",3057,12225,"Galaxy Angel S","Comedy, Sci-Fi","Special",1,7.09,1205
"6909",6956,21771,"Romantica Clock","Shoujo","Special",3,5.83,8491
"5407",5437,16099,"Sword Art Online: Sword Art Offline","Comedy","Special",9,6.46,50012
"5346",5375,1903,"Stratos 4: Logbook","Action, Ecchi, Sci-Fi","Special",1,6.48,1090
"1835",1842,11793,"Tamayura: Hitotose - Attakai Kaze no Omoide, Nanode","Comedy, Drama, Slice of Life","Special",1,7.44,5533
"7385",7437,21215,"Zettai Shougeki: Platonic Heart Picture Drama","Action, Ecchi, Martial Arts","Special",4,5.44,481
"2163",2175,12669,"Amagami SS+ Plus Specials","Romance","Special",6,7.33,17764
"7082",7130,21663,"Last Orders","Action, Samurai, Sci-Fi","Special",1,5.7,395
"3814",3838,3618,"Moyashimon: Kin Gekijou Deluxe","Comedy","Special",4,6.87,4783
"2432",2445,27567,"Fushigi Yuugi Special: Nakago Shikkari Shinasai!","Comedy","Special",2,7.25,943
"3352",3374,3227,"Harukanaru Toki no Naka de 3: Kurenai no Tsuki","Action, Fantasy, Historical, Military, Shoujo","Special",1,7.01,2355
"4374",4398,10949,"Ghost in the Shell: Stand Alone Complex - Tachikoma no Hibi Fan Disc","Comedy, Mecha, Sci-Fi","Special",3,6.73,3159
"8124",8200,24373,"Bakabon Osomatsu no Karee wo Tazunete Sansenri","Comedy","Special",1,6.58,173
"5423",5453,21495,"Denpa Kyoushi","Comedy, School, Shounen","Special",2,6.45,5010
"5791",5827,30155,"Hoshi no Kirby: Tokubetsu-hen - Taose!! Koukaku Majuu Ebizou","Action, Adventure, Comedy, Fantasy","Special",1,6.34,384
"4489",4513,21201,"Teekyuu 2 Specials","Comedy, School, Shounen, Sports","Special",2,6.71,5666
"5309",5337,5056,"Penguin Musume♥Heart Special","Comedy, Ecchi, School, Slice of Life","Special",1,6.49,2564
"5502",5533,13969,"Thermae Romae x Yoyogi Animation Gakuin Collaboration","Comedy, Historical, Seinen","Special",1,6.43,1260
"319",321,16001,"Kokoro Connect: Michi Random","Comedy, Drama, Romance, School, Slice of Life, Supernatural","Special",4,8.19,106989
"2894",2913,23425,"Karneval Specials","Comedy","Special",11,7.13,4415
"10054",10236,15823,"Shin Takarajima","Adventure, Kids","Special",1,5.65,106
"1666",1673,1439,"Lupin III: Walther P-38","Action, Adventure, Comedy, Mystery, Shounen","Special",1,7.47,3134
"1557",1564,31158,"Hetalia: The World Twinkle Specials","Comedy, Historical, Parody","Special",3,7.5,2505
"7367",7418,30600,"Military! Special","Comedy, Ecchi","Special",1,5.46,2063
"3716",3740,8062,"Mai-HiME: Kuro no Mai/Saigo no Bansan","Comedy","Special",1,6.9,4093
"2593",2607,4156,"Ichigo Mashimaro Episode 0","Comedy","Special",1,7.21,9610
"5442",5472,4941,"Tezuka Osamu ga Kieta?! 20 Seiki Saigo no Kaijiken","Mystery","Special",1,6.45,331
"5544",5575,6127,"Toradora!: SOS!","Comedy","Special",4,6.42,54096
"1366",1373,5244,"Aria The Natural: Sono Futatabi Deaeru Kiseki ni...","Fantasy, Sci-Fi, Shounen, Slice of Life","Special",1,7.56,10069
"7071",7119,5051,"Macross XX","Action, Mecha","Special",1,5.71,1609
"1831",1838,4664,"Rurouni Kenshin: Special Techniques","Action, Comedy, Samurai","Special",1,7.43,6677
"4137",4161,32321,"Lupin III (2015): Italian Game","Action, Adventure, Comedy, Shounen","Special",1,6.79,993
"5345",5374,16415,"Sousei no Aquarion Special","Comedy, Mecha","Special",1,6.48,1419
"4045",4069,16964,"Inazuma Eleven Go: TCG CM NG-shuu","Comedy","Special",1,6.81,898
"2788",2805,10108,"Ore no Imouto ga Konnani Kawaii Wake ga Nai: SD Chara ni Yoru Character Commentary","Comedy","Special",16,7.16,14917
"3353",3375,4190,"Harukanaru Toki no Naka de 3: Kurenai no Tsuki Special","Comedy, Fantasy, Shoujo","Special",1,7.01,1010
"10331",10520,27993,"Tetsujin 28-gou: Tanjou-hen","Adventure, Mecha, Sci-Fi, Shounen","Special",1,5.08,90
"4016",4040,27419,"Tari Tari: Kumottari, Kagayaitari, Mata Itsuka Utattari","Music, School, Slice of Life","Special",1,6.82,3466
"2579",2593,1066,"Shakugan no Shana Specials","Comedy, Parody","Special",4,7.22,27261
"1796",1803,33558,"Tales of Zestiria the X: Saiyaku no Jidai","Action, Fantasy","Special",1,7.44,26647
"855",858,21867,"The Disappearance of Conan Edogawa: The Worst Two Days in History","Adventure, Comedy, Mystery, Police, Shounen","Special",1,7.8,3735
"3335",3357,31909,"Wakaba*Girl: Onsen Tsukaritai","Comedy, Slice of Life","Special",1,7.02,4284
"8970",9090,5581,"Kaitei Daisensou: Ai no 20,000 Miles","Action, Adventure","Special",1,6.03,141
"8071",8145,31563,"Ano Hi, Bokura wa Senjou de: Shounenhei no Kokuhaku","Historical","Special",1,7.12,122
"10186",10371,17006,"Sore Ike! Anpanman: Sing! Dance! Everybody&#039;s Christmas","Comedy, Fantasy, Kids, Super Power","Special",1,5.06,81
"8006",8075,30214,"A Smart Experiment","Dementia","Special",1,4.03,109
"1272",1278,1479,"City Hunter: Kinkyuu Namachuukei!? Kyouakuhan Saeba Ryou no Saigo","Shounen","Special",1,7.6,2506
"6660",6705,30813,"Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e","Comedy, Romance, School","Special",1,5.99,718
"9974",10151,28615,"Sazae-san: Dawn to Ikka de Hawaii Ryokou","Comedy, Slice of Life","Special",1,6.14,107
"5717",5751,10832,"Ikoku Meiro no Croisée: Yune &amp; Alice","Historical, Seinen, Slice of Life","Special",7,6.36,3409
"4291",4315,987,"Dragon Ball GT: Goku Gaiden! Yuuki no Akashi wa Suushinchuu","Action, Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power","Special",1,6.75,32853
"5219",5247,31561,"Gangsta. Recap","Action, Drama, Seinen","Special",1,6.51,10234
"11590",12042,10409,"Kyouhaku: Owaranai Ashita - Special Stage","Hentai","Special",1,5.68,395
"1916",1923,10834,"Baka to Test to Shoukanjuu: Spinout! Sore ga Bokura no Nichijou","Comedy, Romance, School, Super Power","Special",6,7.4,19758
"5608",5640,4420,"Vampiyan Kids: Pilot","Action, Comedy, Kids, Vampire","Special",1,6.4,435
"4014",4038,13619,"Sayonara Zetsubou Sensei Special Omake","Comedy, Parody, School","Special",1,6.82,3648
"9781",9952,32145,"Peeping Life: The Perfect Extension Specials","Comedy, Slice of Life","Special",2,5.7,75
"5094",5122,3864,"Souten no Ken Specials","Action, Historical, Martial Arts, Shounen","Special",4,6.55,1122
"3309",3331,993,"Dual Parallel! Trouble Adventures Special","Comedy, Drama, Harem, Mecha, Romance, Sci-Fi","Special",1,7.02,3631
"1435",1442,23359,"Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama","Action, Comedy, Military","Special",1,7.54,7542
"7575",7631,13669,"Owari no Chronicle","Action, Adventure, Fantasy, Sci-Fi","Special",1,5.22,1623
"1923",1932,12231,"Dragon Ball: Episode of Bardock","Action, Adventure, Comedy, Fantasy, Martial Arts, Sci-Fi, Shounen, Super Power","Special",1,7.4,29030
"8163",8242,20207,"Boku no Boukuugou","Drama, Historical, Kids","Special",1,7.14,154
"4163",4187,29413,"Dog Days Recap","Action, Adventure, Fantasy, Magic","Special",1,6.78,2169
"2492",2505,19211,"Suisei no Gargantia Specials","Action, Mecha, Sci-Fi","Special",2,7.24,25383
"9792",9964,30646,"Perman: Copy World no Nazo","Comedy, Kids","Special",1,5.29,73
"9736",9901,33414,"Otona no Ikkyuu-san","Comedy, Historical","Special",3,5,67
"11119",11566,8837,"Taimanin Asagi Special","Action, Demons, Hentai, Martial Arts, Supernatural","Special",1,6.42,2258
"1446",1453,9124,"Ookiku Furikabutte: Natsu no Taikai-hen Special","Comedy, Sports","Special",1,7.54,4786
"2028",2039,654,"Galaxy Angel 3 Specials","Comedy, Sci-Fi","Special",2,7.37,2574
"5814",5850,31668,"Teekyuu 5 Specials","Comedy, School, Shounen, Sports","Special",2,6.35,1308
"4338",4362,10172,"Freezing Specials","Action, Comedy, Ecchi","Special",6,6.74,28125
"8044",8113,29889,"Akuei to Gacchinpo Tenkomori: Maboroshi no Omake Episode","Comedy","Special",1,4.17,53
"6300",6341,31137,"Mahou Shoujo Lyrical Nanoha ViVid: Special Program","Action, Magic","Special",1,6.15,1026
"6305",6347,28925,"Youkai Watch: Best 10","Comedy, Kids, Supernatural","Special",1,6.16,231
"7053",7101,15893,"Crash!","Comedy, Shoujo","Special",3,5.7,1015
"7020",7068,5624,"Biohazard 4D-Executer","Action, Adventure, Horror, Military","Special",1,5.75,2423
"8805",8914,8192,"Hoshi Shinichi Short Short Special","Comedy, Sci-Fi","Special",1,6,106
"4046",4070,24821,"Isshuukan Friends. Specials","School, Slice of Life","Special",12,6.81,10995
"5648",5682,24675,"Future Card Buddyfight Recap","Game","Special",1,6.38,277
"5656",5690,15717,"Nagareboshi Lens Specials","Romance, Shoujo","Special",3,6.38,1557
"5278",5306,2464,"Yoshinaga-san&#039;chi no Gargoyle Specials","Adventure, Comedy, Fantasy","Special",5,6.5,867
"3301",3323,8440,"Black Lagoon Omake","Comedy","Special",7,7.02,33923
"6288",6328,25635,"Space☆Dandy Picture Drama","Comedy, Sci-Fi, Space","Special",2,6.17,2399
"3167",3189,3174,"Sola Specials","Comedy, Romance, Slice of Life, Supernatural","Special",2,7.06,12223
"4065",4089,23459,"Sekai Seifuku: Bouryaku no Zvezda - Shin Zvezda Daisakusen","Action, Comedy, Fantasy","Special",1,6.81,10141
"1789",1796,1094,"One Piece: Umi no Heso no Daibouken-hen","Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Special",1,7.44,19649
"2451",2464,22859,"Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite","Comedy","Special",1,7.26,13238
"9234",9374,6206,"La Vilaine LuLu","Comedy","Special",13,4.5,108
"8975",9095,17403,"Kaitou Lupin: 813 no Nazo","Mystery","Special",1,6.73,301
"2876",2895,1709,"Pokemon: Mewtwo! Ware wa Koko ni Ari","Action, Adventure, Comedy, Drama, Fantasy, Kids","Special",1,7.14,38638
"8181",8260,12371,"Bosco no Mori no Nakama-tachi","Adventure, Fantasy","Special",1,5.55,113
"7134",7182,18231,"Vanquished Queens Specials","Ecchi","Special",4,5.67,2670
"3851",3875,7322,"Needless Specials","Comedy, Ecchi, School","Special",12,6.86,11609
"7435",7487,17163,"Peeping Life: The Perfect Evolution Specials","Comedy, Slice of Life","Special",3,5.38,220
"5183",5211,13137,"Itsuka Tenma no Kuro Usagi Special","Comedy, Ecchi","Special",1,6.52,3251
"6967",7014,4458,"Bavel no Hon","Kids","Special",1,5.79,1906
"1406",1413,6291,"Full Metal Panic! The Second Raid Episode 000","Action, Adventure, Mecha, Military","Special",1,7.55,25423
"6345",6387,18729,"Marginal Prince: Gekkeiju no Ouji-tachi - Tokyo Merry-Go-Round","Romance, School, Shounen Ai","Special",1,6.13,728
"6215",6254,2421,"Super Kuma-san","Comedy, Fantasy","Special",1,6.2,534
"8095",8171,13947,"Ashita no Eleventachi","Sports","Special",1,6.05,154
"3822",3846,30381,"Sousei no Aquarion Evol","Mecha, Romance, Sci-Fi","Special",1,6.87,3752
"3743",3767,30376,"Isshuukan Friends.: Tomodachi to no Omoide","Comedy, School, Slice of Life","Special",1,6.89,2859
"2108",2120,16468,"One Piece: Glorious Island","Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Special",2,7.35,12922
"10403",10595,29073,"Tottori U-turn","Sports","Special",1,4.26,91
"10549",10744,31697,"Witch Village Story Specials","Slice of Life","Special",2,4.29,34
"6289",6329,30648,"Stitch!: Zutto Saikou no Tomodachi Special","Adventure, Comedy, Kids","Special",1,6.17,189
"5649",5683,16912,"gdgd Fairies 2 Episode 0","Comedy, Fantasy","Special",1,6.38,367
"7272",7321,31115,"Schick x Evangelion","Comedy, Parody","Special",2,5.56,2021
"6732",6778,22137,"Toukiden: The Age of Demons - Introduction","Action, Demons","Special",1,5.94,499
"1726",1733,2009,"Yawara! Special: Zutto Kimi no Koto ga... .","Action, Comedy, Drama, Martial Arts, Slice of Life, Sports","Special",1,7.46,855
"2989",3009,5955,"Toaru Majutsu no Index-tan","Comedy, Parody","Special",2,7.11,32949
"10238",10424,4440,"Sugata Sanshirou","Action, Martial Arts, Sports","Special",1,6.65,158
"2131",2143,376,"Elfen Lied Special","Drama, Ecchi, Horror, Psychological, Supernatural","Special",1,7.34,116129
"4067",4091,19391,"Shingeki no Kyojin Picture Drama","Comedy, Parody","Special",9,6.81,26363
"2198",2210,3956,"Shakugan no Shana II (Second) Specials","Comedy, Parody","Special",3,7.33,34305
"8406",8494,30450,"Dr. Slump: Hoyoyo! Arale no Himitsu Dai Koukai dayo!!","Comedy, Sci-Fi, Shounen","Special",1,6.17,248
"1823",1830,1237,"One Piece: Oounabara ni Hirake! Dekkai Dekkai Chichi no Yume!","Action, Adventure, Comedy, Fantasy, Shounen, Super Power","Special",1,7.43,17175
"2115",2127,25647,"Sabagebu! Specials","Action, Comedy, Military, Shoujo","Special",6,7.35,9065
"1139",1144,2743,"Mobile Suit Gundam Seed: Seed Supernova - Tanekyara Gekijou","Comedy, Parody","Special",4,7.66,5508
"884",887,1015,"Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi","Comedy","Special",1,7.78,51688
"7185",7234,32950,"RS Keikaku: Rebirth Storage","Mecha","Special",1,5.62,4648
