"","X","anime_id","name","genre","type","episodes","rating","members"
"2463",2476,5760,"Dororo to Hyakkimaru","Action, Adventure, Supernatural","TV",26,7.25,1238
"4761",4786,21353,"Tokyo ESP","Action, Comedy, Sci-Fi, Shounen, Super Power, Supernatural","TV",12,6.64,95168
"2757",2773,31588,"All Out!!","School, Seinen, Sports","TV",25,7.16,35461
"2567",2581,5983,"Higepiyo","Comedy","TV",39,7.22,4427
"9642",9805,34358,"Ocha-ken: Hotto Monogatari","Kids, Slice of Life","TV",13,6.67,29
"2980",3000,941,"Renkin San-kyuu Magical? Pokaan","Comedy, Ecchi, Magic, Parody, Vampire","TV",12,7.11,17273
"1614",1621,6880,"Deadman Wonderland","Action, Horror, Sci-Fi","TV",12,7.48,453454
"555",557,1571,"Ghost Hunt","Comedy, Horror, Mystery, Shoujo, Supernatural","TV",25,7.97,126426
"4469",4493,32011,"Hakuouki: Otogisoushi","Fantasy, Historical, Josei, Samurai","TV",13,6.71,2791
"1047",1052,31821,"Arslan Senki (TV): Fuujin Ranbu","Action, Adventure, Drama, Fantasy, Historical, Shounen, Supernatural","TV",8,7.7,53577
"3004",3024,2389,"Kagaku Ninja-tai Gatchaman","Action, Adventure, Sci-Fi, Shounen","TV",105,7.1,4802
"3995",4019,271,"Gad Guard","Adventure, Mecha, Sci-Fi, Shounen","TV",26,6.82,8315
"4089",4113,850,"Gakuen Heaven","Comedy, Drama, Romance, School, Shounen Ai","TV",13,6.8,34787
"41",41,1535,"Death Note","Mystery, Police, Psychological, Supernatural, Thriller","TV",37,8.71,1013917
"8508",8604,23347,"Gan to Gon","Comedy, Kids","TV",260,6.7,61
"6742",6788,832,"Ginsoukikou Ordian","Mecha, Sci-Fi","TV",24,5.93,1304
"10274",10461,32590,"Taeng-gu &amp; Ulasyong","Action, Comedy, Mecha","TV",26,4,38
"6134",6173,32083,"Luck &amp; Logic","Action, Fantasy","TV",12,6.23,48314
"755",758,20057,"Space☆Dandy","Comedy, Sci-Fi, Space","TV",13,7.86,123529
"5428",5458,7551,"Gowapper 5 Gordam","Action, Adventure, Mecha, Sci-Fi","TV",36,6.45,213
"9198",9336,11197,"Kuma no Puutarou","Comedy","TV",30,6.3,79
"10531",10724,30875,"Washimo 3rd Season","Comedy, Kids, School, Sci-Fi, Slice of Life","TV",44,5.5,69
