"","X","anime_id","name","genre","type","episodes","rating","members"
"2463",2476,5760,"Dororo to Hyakkimaru","Action, Adventure, Supernatural","TV",26,7.25,1238
"10419",10611,33691,"Tsukiyo to Megane","Fantasy","Movie",1,4.67,39
"2986",3006,7014,"Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku","Drama, Historical, Military, Supernatural","Movie",1,7.11,4812
"1842",1849,28405,"Ansatsu Kyoushitsu (TV): Deai no Jikan","Action, Comedy, School, Shounen","Special",1,7.42,29382
"3371",3393,20021,"Sword Art Online: Extra Edition","Action, Adventure, Fantasy, Game, Romance","Special",1,7,121722
"11638",12091,3377,"Tres Marias: Sannin no Sei Shojo","Hentai","OVA",2,5.57,1003
"4761",4786,21353,"Tokyo ESP","Action, Comedy, Sci-Fi, Shounen, Super Power, Supernatural","TV",12,6.64,95168
"9819",9994,29898,"Plus 50000-nen","Sci-Fi","Movie",1,5.08,72
"2757",2773,31588,"All Out!!","School, Seinen, Sports","TV",25,7.16,35461
"5107",5135,12685,"Code Geass: Nunnally in Wonderland","Comedy, Fantasy, Parody","OVA",1,6.54,37087
"9145",9281,26345,"Kogitsune no Okurimono","Drama, Fantasy, Kids","OVA",1,6.5,52
"6170",6209,9944,"Hime Gal♥Paradise","Shoujo","OVA",9,6.21,563
"2567",2581,5983,"Higepiyo","Comedy","TV",39,7.22,4427
"9642",9805,34358,"Ocha-ken: Hotto Monogatari","Kids, Slice of Life","TV",13,6.67,29
"9982",10160,10045,"Seishun Fuufu Monogatari: Koiko no Mainichi","Comedy, Drama, Ecchi, Romance, Seinen","OVA",2,6.22,162
"2980",3000,941,"Renkin San-kyuu Magical? Pokaan","Comedy, Ecchi, Magic, Parody, Vampire","TV",12,7.11,17273
"1614",1621,6880,"Deadman Wonderland","Action, Horror, Sci-Fi","TV",12,7.48,453454
"555",557,1571,"Ghost Hunt","Comedy, Horror, Mystery, Shoujo, Supernatural","TV",25,7.97,126426
"4469",4493,32011,"Hakuouki: Otogisoushi","Fantasy, Historical, Josei, Samurai","TV",13,6.71,2791
"9359",9505,25301,"Maya no Isshou","Drama, Historical, Slice of Life","Movie",1,8.75,66
"10784",11212,4358,"Aniyome wa Ijippari","Hentai","OVA",2,7.08,7882
"10730",11153,5097,"Hatsu Inu 2 The Animation: Strange Kind of Woman - Again","Hentai","OVA",2,7.29,8112
"7789",7854,8647,"Self-Portrait","Comedy, Demons","Special",1,4.86,435
"1047",1052,31821,"Arslan Senki (TV): Fuujin Ranbu","Action, Adventure, Drama, Fantasy, Historical, Shounen, Supernatural","TV",8,7.7,53577
"7067",7115,2053,"Capricorn","Adventure, Comedy, Fantasy, Sci-Fi, Shounen","OVA",1,5.71,1207
"3004",3024,2389,"Kagaku Ninja-tai Gatchaman","Action, Adventure, Sci-Fi, Shounen","TV",105,7.1,4802
"3207",3229,10923,"Tantei Opera Milky Holmes: Summer Special","Comedy, Mystery, Super Power","Special",1,7.05,5050
"7989",8058,13405,"Utsu Musume Sayuri","Comedy, Dementia","OVA",1,2.14,4047
"3995",4019,271,"Gad Guard","Adventure, Mecha, Sci-Fi, Shounen","TV",26,6.82,8315
"8358",8444,9869,"Din Dong","Comedy, Parody","Special",1,5.18,80
"217",218,11977,"Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari","Drama, Magic, Psychological, Thriller","Movie",1,8.31,88164
"9506",9660,25083,"Nanatsu no Umi no Tico Specials","Adventure, Slice of Life","Special",2,6.78,137
"8157",8235,33950,"Black Clover","Action, Comedy, Fantasy, Magic, Shounen","Special",1,8.6,2247
"10821",11252,5784,"Ai no Kusabi (2012)","Drama, Romance, Sci-Fi, Yaoi","OVA",4,6.97,17943
"6216",6255,32816,"Teekyuu 6 Specials","Comedy, Shounen, Sports","Special",2,6.2,677
"1599",1606,2585,"Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots","Drama, Mecha, Military, Sci-Fi","OVA",1,7.49,2049
