"","X","anime_id","name","genre","type","episodes","rating","members"
"8674",8778,34412,"Hashiri Hajimeta bakari no Kimi ni","Music","Music",1,6.76,239
"6271",6310,5052,"Eightman","Action, Drama, Mecha, Sci-Fi","TV",56,6.17,629
"6405",6447,3726,"Karasu Tengu Kabuto: Ougon no Me no Kemono","Action, Adventure, Drama, Historical","OVA",1,6.11,735
"10457",10649,34078,"Ukkari Pénélope (2013)","Kids, Slice of Life","TV",13,7,32
"6052",6091,2414,"Assemble Insert","Comedy, Police, Sci-Fi","OVA",2,6.25,1566
"6010",6049,686,"To Heart: Remember My Memories Specials","Comedy, Martial Arts, Parody, Samurai, Sci-Fi, Super Power","Special",7,6.27,2198
"1659",1666,7337,"Hetalia Axis Powers Movie: Paint it, White","Comedy, Historical, Parody","Movie",1,7.47,36986
"8107",8183,12951,"AWOL","Action, Military, Sci-Fi, Space","TV",12,5.33,293
"851",854,33209,"Huyao Xiao Hongniang: Wangquan Fugui","Comedy, Romance, Supernatural","ONA",14,7.8,1119
"4813",4838,257,"Ikkitousen","Ecchi, Martial Arts, School, Super Power","TV",13,6.62,88969
"9217",9356,28109,"Kuzuryuugawa to Shounen","Drama, Historical","OVA",1,7.75,61
"2988",3008,27509,"Toaru Majutsu no Index 10th Anniversary PV","Action, Comedy, Magic, Sci-Fi, Super Power","Special",1,7.11,5052
"6003",6042,7415,"Mukougaoka Chisato wa Tada Mitsumeteita no Datta","Music","Music",1,6.27,794
"9692",9857,21163,"Oni no Ko to Yuki Usagi","Demons, Fantasy, Kids","Movie",1,6.21,131
"674",677,5835,"Hanasakeru Seishounen","Drama, Romance, Shoujo","TV",39,7.9,37051
"2638",2652,23227,"Mikakunin de Shinkoukei: Kamoniku tte Midori-ppoi Aji ga Suru no ne.","Comedy, Romance, Seinen, Slice of Life","OVA",1,7.2,21717
"5286",5314,4418,"Catman Series II","Comedy, Fantasy, Slice of Life","ONA",8,6.49,755
"7012",7060,29822,"Channel 5.5 2nd Season","Comedy, Parody","ONA",4,5.76,277
"9750",9917,7960,"Pachislo Kizoku Gin","Action, Game","TV",23,6.44,223
"2418",2431,30845,"Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!","Music, Shoujo","Movie",1,7.26,1028
"4187",4211,23363,"Ore no Imouto ga Konnani Kawaii Wake ga Nai.: Ore no Imouto ga Konnani Eroge na Wake Nai","Comedy, Romance","Special",1,6.78,3609
"8718",8822,17957,"Hello Kitty no Papa Nante Daikirai","Kids, Slice of Life","OVA",1,6.63,124
"7308",7359,31494,"Mini-Chara Macross","Comedy, Mecha, Parody","Special",1,5.5,278
"2948",2968,6344,"Shikabane Hime: Kuro Special","Action, Adventure, Drama, Horror, Supernatural","Special",1,7.12,9558
"11613",12066,3211,"Otenki Oneesan","Comedy, Hentai, Yuri","OVA",2,5.63,1040
"7448",7501,8935,"Nekketsu Uchuujin","Comedy, Sci-Fi","ONA",1,5.37,832
"4530",4554,973,"Glass no Kantai: La Legende du Vent de l&#039;Univers","Adventure, Sci-Fi","TV",24,6.69,8052
"5628",5662,25365,"Pokemon XY: Koukoku no Princess Diancie","Comedy, Fantasy, Kids","Special",1,6.4,2829
"6673",6718,10519,"Mahou Shoujo Sonico★Magica","Music, Parody","ONA",1,5.98,13266
"8313",8396,32628,"Columbus no Daibouken","Historical","OVA",1,6.5,35
"9606",9765,18577,"Noobow: Na Kokoro","Kids, Slice of Life","ONA",52,5.6,60
"6527",6570,7257,"Shijin no Shougai","Drama, Fantasy, Psychological","Movie",1,6.06,541
"6089",6128,1026,"Yakumo Tatsu","Adventure, Historical, Horror, Shoujo, Supernatural","OVA",2,6.25,2427
"5137",5165,3778,"Yuukan Club","Comedy, Mystery, School, Shoujo","OVA",2,6.54,287
"4591",4615,12671,"Pokemon Best Wishes! Season 2: Kyurem vs. Seikenshi","Action, Adventure, Comedy, Drama, Fantasy, Kids","Movie",1,6.68,14498
"5266",5294,31223,"Phantasy Star Online 2 The Animation","Action, Game, School, Sci-Fi","TV",12,6.5,32470
"5644",5678,29165,"Daitoshokan no Hitsujikai Picture Drama","Comedy, Ecchi","Special",6,6.38,2487
"7296",7346,2521,"Haja Kyosei G Dangaiou","Action, Mecha, Sci-Fi","TV",13,5.52,1377
"869",872,30952,"New Initial D Movie: Legend 3 - Mugen","Cars, Seinen, Sports","Movie",1,7.79,3479
"11314",11765,1332,"Elf no Wakaokusama","Fantasy, Hentai","OVA",2,6.13,2050
"7147",7195,1820,"Power Dolls","Action, Adventure, Mecha, Sci-Fi","OVA",2,5.65,921
"666",669,28677,"Yamada-kun to 7-nin no Majo (TV)","Comedy, Harem, Mystery, Romance, School, Shounen, Supernatural","TV",12,7.91,193566
"4038",4062,8187,"Fumiko no Kokuhaku","Comedy","ONA",1,6.81,13829
"11815",12274,18199,"Nudl Nude 2","Comedy, Hentai, Parody","OVA",1,4,146
"5005",5033,4933,"Muu no Hakugei","Action, Fantasy, Sci-Fi","TV",26,6.57,344
"11527",11978,5575,"Karakara-sama no Himitsu","Hentai","OVA",1,5.8,316
"2084",2096,7,"Witch Hunter Robin","Action, Drama, Magic, Mystery, Police, Supernatural","TV",26,7.36,64905
"2623",2637,19877,"Battle Spirits: Sword Eyes Gekitouden","Shounen","TV",21,7.21,570
"8049",8118,8226,"Akuma-kun (Movie)","Adventure, Fantasy, Horror, Magic, Supernatural","Movie",1,5.91,213
"10338",10527,7629,"The Arari Show","Comedy, Drama, Slice of Life","TV",26,6.5,78
"352",354,5682,"Phantom: Requiem for the Phantom","Action, Drama, Seinen, Thriller","TV",26,8.16,159105
"7591",7648,32247,"Tekkon Kinkreet Pilot","Action, Adventure, Psychological, Supernatural","Special",1,5.2,345
"5659",5693,1547,"Obake no Q-tarou","Comedy, School, Slice of Life, Supernatural","TV",96,6.38,250
"10997",11439,11997,"Tsundere Inran Shoujo Sukumi","Hentai","OVA",2,6.62,4042
"9809",9983,29393,"Pinky Monkey no Umareta Hi","Adventure","ONA",1,4.4,70
"5236",5264,33934,"Trigger-chan","Action","ONA",1,6.51,5051
"3756",3780,14629,"Starship Troopers: Invasion","Action, Military, Sci-Fi","Movie",1,6.89,2493
"11",11,4181,"Clannad: After Story","Drama, Fantasy, Romance, Slice of Life, Supernatural","TV",24,9.06,456749
"515",517,29787,"Gochuumon wa Usagi Desu ka??","Comedy, Slice of Life","TV",12,8.01,38102
"6249",6288,15043,"Haitai Nanafa","Comedy, Supernatural","TV",13,6.18,5907
"5812",5848,1582,"Submarine 707R","Action, Adventure, Military, Sci-Fi","OVA",2,6.34,1712
"3594",3618,1760,"Golgo 13","Action, Adventure, Drama, Military, Seinen","Movie",1,6.93,6344
"8027",8096,23861,"Ai no Kiseki: Doctor Norman Monogatari","Drama, Slice of Life","Special",1,6.23,107
"8503",8599,33827,"Gakushuu Animation Nihon Koku Kenpou","Historical","OVA",1,6,20
"6523",6566,31846,"Puzzle &amp; Dragons CM","Game, School","ONA",2,6.06,696
"3996",4020,32946,"Gyakuten Saiban 6 Prologue","Mystery","ONA",1,6.81,1108
"1241",1246,5075,"Yuusha Keisatsu J-Decker","Action, Adventure, Mecha, Police, Sci-Fi","TV",48,7.62,1116
"113",114,30503,"Noragami Aragoto","Action, Adventure, Shounen, Supernatural","TV",13,8.48,299434
"10362",10551,27839,"Ticonderonga no Iru Umi","Drama, Historical, Kids","OVA",1,8.33,59
"10503",10695,25597,"Vampiyan Kids Specials","Comedy, Fantasy, Kids","Special",3,6.13,77
"3024",3044,33254,"Arslan Senki (TV) OVA","Adventure, Fantasy, Historical, Shounen","OVA",2,7.08,9823
"10789",11218,6194,"Stretta The Animation","Hentai","OVA",2,7.08,5625
"7284",7333,1627,"Choushin Hime Dangaizer 3","Adventure, Ecchi, Mecha, Sci-Fi","OVA",4,5.53,919
"2091",2103,2116,"Captain Tsubasa","Action, Shounen, Sports","TV",128,7.35,36623
"6390",6432,23099,"Puchitto Gargantia Special","Comedy, Mecha, Sci-Fi","Special",1,6.12,1786
"9885",10062,10607,"Rerere no Tensai Bakabon","Comedy","TV",24,6.64,182
"5966",6004,3020,"Gu-Gu Ganmo","Comedy, School","TV",50,6.28,259
"3905",3929,924,"Transformers: Choujin Master Force","Adventure, Mecha, Sci-Fi, Shounen","TV",47,6.85,1574
"9346",9492,28237,"MapleStory Special","Action, Comedy, Fantasy, Kids","Special",1,5.46,152
"1254",1259,1289,"Mobile Police Patlabor: The New Files","Comedy, Mecha, Police, Sci-Fi","OVA",16,7.61,3952
"8769",8874,13207,"Himitsukessha Taka no Tsume Gaiden: Mukashi no Yoshida-kun","Comedy, Historical, Parody","TV",9,5.37,126
"7174",7223,30324,"Obake no Dokurou","Kids, Supernatural","ONA",1,5.63,655
"4703",4727,11583,"Kami nomi zo Shiru Sekai: Natsu-iro Surprise","Music","Music",1,6.65,5772
"7917",7986,6828,"Ohi-sama to Kaeru","Comedy","Movie",1,4.27,359
"11019",11462,2148,"Okane ga Nai","Drama, Romance, Yaoi","OVA",4,6.58,27367
"154",155,6336,"Mobile Suit Gundam Unicorn","Action, Drama, Mecha, Military, Sci-Fi, Space","OVA",7,8.4,42076
"6357",6399,32745,"Fake Style","Music","Music",1,6.13,85
"9668",9832,26145,"Okaachan Gomen ne","Historical, Kids","Movie",1,9,47
"8407",8495,30449,"Dr. Slump: Robot Taiketsu! Shukuteki Dr. Mashirito Toujou / Keen de Yuushou!? Penguin Grand Prix","Comedy, Mecha, Sci-Fi, Shounen","Special",1,6.7,165
"547",549,187,"Initial D Third Stage","Action, Cars, Drama, Seinen, Sports","Movie",1,7.98,39374
"4434",4458,31344,"K: Missing Kings - Manner Movie","Comedy","Movie",1,6.72,3235
"7384",7436,18723,"Soul Reviver","Action, Seinen, Supernatural","Special",1,5.44,326
"6843",6890,12723,"Loups=Garous Pilot","Mystery, Sci-Fi, Thriller","Special",1,5.87,622
"8854",8965,24577,"Imokawa Mukuzo: Chuugaeri no Maki","Comedy","Movie",1,6.17,79
"9834",10010,2093,"Pops","Romance, Shoujo, Slice of Life","OVA",1,5.9,171
"5089",5117,2237,"Rozen Maiden: Meitantei Kunkun - Duell Walzer","Comedy, Mystery","Special",1,6.55,13901
"3563",3587,2793,"Hi no Tori 2772: Ai no CosmoZone","Adventure, Drama, Fantasy, Sci-Fi","Movie",1,6.94,1717
"7423",7475,1949,"Mahou no Chocolate","Drama, Romance","OVA",1,5.39,2277
"3845",3869,15895,"Hiyokoi (2012)","Romance, School, Shoujo","Special",3,6.86,13168
"9251",9393,18155,"Linetown","Comedy","TV",50,6.18,369
"9077",9211,26225,"Kii-chan Watashi, Umarete Kite Yokatta!","Drama, Kids","OVA",1,7.25,52
"11232",11682,651,"Green Green Thirteen: Erolutions","Comedy, Hentai, Romance","OVA",1,6.26,17805
"1980",1989,536,"Slayers: The Motion Picture","Adventure, Comedy, Fantasy, Magic, Shounen","Movie",1,7.39,16046
"2249",2261,2513,"Detective Conan OVA 03: Conan and Heiji and the Vanished Boy","Adventure, Comedy, Mystery, Police, Shounen","OVA",1,7.31,8252
"6513",6556,1991,"Juusou Kikou Dancougar Nova","Mecha","TV",12,6.06,3326
"7297",7347,11389,"Happy Kappy Recap","Comedy, Fantasy, Shoujo","Special",1,5.52,191
"7955",8024,22255,"Kanojo no Dokushinshatachi ni Yotte Hadaka ni Sareta Seifuku no Shojo Kenkyuu","Dementia, Music","Movie",1,3.83,326
"4741",4766,24695,"Gokukoku no Brynhildr Special","Comedy, Ecchi, Harem, Sci-Fi, Seinen","Special",1,6.64,20758
"6228",6267,15993,"Ginga e Kickoff!!: Natsuyasumi Special","Sports","Special",1,6.19,762
"2245",2257,14835,"The iDOLM@STER Shiny Festa","Comedy, Drama, Music","OVA",3,7.32,9893
"5638",5672,13859,"Accel World: Acchel World.","Comedy, Sci-Fi","Special",8,6.38,26190
"11184",11633,1274,"Injuu Gakuen EX","Demons, Hentai","OVA",4,6.34,1760
"8500",8596,9345,"Gakkou no Kowai Uwasa Shin: Hanako-san ga Kita!!","Comedy, Horror, School, Supernatural","TV",33,6.53,341
"9285",9430,22981,"Magical★Taruruuto-kun: Moeru! Yuujou no Mahou Taisen","Adventure, Comedy, Ecchi, Fantasy, Magic, School","Movie",1,6.6,91
"11118",11565,11523,"Shiofuki Mermaid","Hentai","OVA",1,6.42,1690
"3045",3067,31670,"Kaitou Joker 3rd Season","Adventure, Comedy, Mystery, Shounen","TV",13,7.09,1880
"4125",4149,12745,"Bari Bari Densetsu (1987)","Action, Drama, Shounen, Sports","Movie",1,6.79,610
"1183",1188,15437,"Kore wa Zombie Desu ka? of the Dead OVA","Action, Comedy, Ecchi, Harem, Magic, Supernatural","OVA",1,7.64,54828
"2067",2079,15379,"Kotoura-san","Comedy, Drama, Romance, School","TV",12,7.36,123691
"3961",3985,594,"Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!","Action, Adventure, Comedy, Shounen, Super Power","Special",1,6.83,52264
"535",537,14175,"Hanasaku Iroha: Home Sweet Home","Comedy, Drama, Slice of Life","Movie",1,7.99,34630
"3669",3693,15377,"Hyakka Ryouran: Samurai Bride","Action, Comedy, Ecchi, Harem, Samurai, School","TV",12,6.91,52542
"6837",6884,1692,"_Summer","Drama, Harem, Romance","OVA",2,5.88,7051
"6414",6456,8337,"Shoka","Action, Fantasy, Historical","Special",1,6.11,3355
"4085",4109,1317,"Eyeshield 21: Maboroshi no Golden Bowl","Shounen, Sports","Movie",1,6.8,5611
"5488",5519,258,"Hitsuji no Uta","Drama, Horror, Vampire","OVA",4,6.43,10574
"1258",1263,1608,"Salaryman Kintarou","Comedy, Drama, Seinen","TV",20,7.61,4151
"4640",4664,30437,"Wakako-zake","Seinen, Slice of Life","TV",12,6.67,18933
"11735",12188,4157,"Pero Pero Candy","Hentai","OVA",1,5.31,359
"6913",6960,5232,"Band of Ninja","Action","Movie",1,5.82,748
"5259",5287,30895,"HaruChika: Haruta to Chika wa Seishun suru","Mystery, Romance, School, Slice of Life","TV",12,6.5,49971
"10548",10743,31696,"Witch Village Story","Slice of Life","TV",24,4.71,42
"6413",6455,4471,"Shin SOS Dai Tokyo Tankentai","Adventure","Movie",1,6.11,977
"2470",2483,28869,"Kaitou Joker 2nd Season","Adventure, Comedy, Mystery, Shounen","TV",13,7.25,2655
"683",686,21995,"Ao Haru Ride","Comedy, Drama, Romance, School, Shoujo, Slice of Life","TV",12,7.89,227417
"294",296,72,"Full Metal Panic? Fumoffu","Action, Comedy, School","TV",12,8.21,171086
"1140",1145,3626,"Mobile Suit Gundam Wing: Operation Meteor","Action, Adventure, Drama, Mecha, Military, Psychological, Sci-Fi, Space","OVA",4,7.66,6768
"8838",8948,30938,"Ijime Juuyon-sai no Message","Drama","OVA",1,5.5,38
"833",836,2454,"Kimagure Orange☆Road: Ano Hi ni Kaeritai","Comedy, Drama, Romance, Shounen, Slice of Life","Movie",1,7.81,4368
"10015",10193,32797,"Shenmi Shijie Lixian Ji 2","Adventure, Comedy, Fantasy","Movie",1,6.75,36
"2134",2146,21635,"GJ-bu@","Comedy, School, Slice of Life","Special",1,7.34,18894
"7829",7895,6000,"Haruwo","Action","OVA",1,4.72,493
"3844",3868,19889,"Genshiken Nidaime Specials","Comedy, Parody, Slice of Life","Special",4,6.86,3981
"130",131,32,"Neon Genesis Evangelion: The End of Evangelion","Dementia, Drama, Mecha, Psychological, Sci-Fi","Movie",1,8.45,215630
"4851",4877,9943,"Ore-sama Kingdom","Romance, Shoujo","OVA",14,6.61,1846
"3584",3608,1068,"Chou Denji Robo Combattler V","Adventure, Mecha, Sci-Fi, Shounen","TV",54,6.93,1369
"11345",11796,3706,"Seikoujo: Haitoku no Biden Dorei","Hentai","OVA",2,6.08,2038
"4117",4141,2299,"Uchuu no Kishi Tekkaman Blade OVA: Burning Clock","Action, Mecha, Sci-Fi, Shounen","OVA",1,6.8,1120
"10924",11365,12373,"Star☆Jewel","Hentai, Yuri","OVA",1,6.75,2430
"6971",7018,32618,"Hietsuki Bushi","Fantasy, Music, Sci-Fi","Music",1,5.79,103
"10841",11274,10458,"Ran-&gt;Sem: Hakudaku Delmo Tsuma no Miira Tori","Hentai","OVA",2,6.92,4192
"1863",1870,2294,"Mobile Suit Gundam Seed Destiny Special Edition","Action, Drama, Mecha, Military, Romance, Sci-Fi, Space","Special",4,7.42,7799
"8650",8751,23709,"Hana to Shounen","Fantasy","OVA",1,7.25,55
"8530",8626,32581,"Gaza: Changing the World","Drama, Supernatural","ONA",1,5.14,94
"10265",10452,16568,"Syupeo Taegwon V","Action, Mecha, Sci-Fi","Movie",1,4.1,83
"6887",6934,2876,"Hoshi no Orpheus","Fantasy, Kids","Movie",1,5.84,310
"219",220,23847,"Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku","Comedy, Drama, Romance, School","TV",13,8.31,222994
"3327",3349,8677,"Sangokushi (1985)","Historical","Special",1,7.02,231
"3401",3423,3248,"Tenpou Ibun: Ayakashi Ayashi - Ayashi Shinkyoku","Action, Drama, Historical, Supernatural","Special",5,7,1892
"5388",5418,5900,"Jean Valjean Monogatari","Drama","Special",1,6.46,422
"1767",1774,4703,"Yes! Precure 5 GoGo! Movie: Okashi no Kuni no Happy Birthday","Fantasy, Kids, Magic, Romance, Shoujo, Super Power","Movie",1,7.45,2210
"6576",6619,33236,"Committed RED","Music","Music",1,6.03,140
"1247",1252,2961,"Digimon Adventure Movie","Action, Fantasy, Kids, Sci-Fi","Movie",1,7.61,60753
"8479",8573,8218,"Fushigi na Elevator","Fantasy","Movie",1,5.71,251
"8391",8478,25299,"Dosukoi! Wanpaku Dohyou","Drama, Sports","Movie",1,5.25,53
"4785",4810,10671,"Morita-san wa Mukuchi.","Comedy, School, Slice of Life","TV",13,6.63,15046
"5269",5297,559,"RahXephon Interlude: Her and Herself/Thatness and Thereness","Drama, Psychological, Sci-Fi","OVA",1,6.5,5090
"10720",11141,9322,"HHH Triple Ecchi","Hentai","OVA",4,7.37,11206
"9242",9383,30343,"Legend of the Moles: The Frozen Horror","Adventure, Fantasy, Kids","Movie",1,6,45
"5913",5950,11505,"Kiss Dum: Omokage","Mecha, Military, Sci-Fi","Special",1,6.3,605
"3351",3373,3710,"Hakaba Kitarou","Horror, Supernatural","TV",11,7.01,6649
"5891",5928,32065,"Kimi no Sumu Machi","Comedy","Special",1,6.31,398
"100",101,30230,"Diamond no Ace: Second Season","Comedy, School, Shounen, Sports","TV",51,8.5,38531
"10676",10878,22709,"Zettai Zetsumei Dangerous Jiisan (2005)","Comedy, Kids","TV",19,7,66
"1807",1814,6401,"ef: A Tale of Melodies. - Prologue","Music","Special",1,7.43,13745
"7402",7454,28305,"Broots","Mecha, Sci-Fi","Special",1,5.41,132
"8011",8080,11541,"Ad Lib Anime Kenkyuujo","Comedy","TV",38,5.29,677
"9829",10005,7527,"Ponsuke no Udekurabe","Action","Movie",1,6.4,91
"9049",9182,17985,"Kero Kero Keroppi no Boku-tachi no Takaramono","Fantasy, Kids","OVA",1,6.5,117
"521",523,6377,"Zan Sayonara Zetsubou Sensei","Comedy, Parody, School","TV",13,8.01,55402
"11641",12094,33515,"Misuzu: Ikenai Koto","Hentai","OVA",1,5.56,1068
"2157",2169,1303,"The Animatrix","Action, Drama, Sci-Fi","OVA",9,7.34,42831
"1129",1134,5348,"Detective Conan Magic File 2: Kudou Shinichi - The Case of the Mysterious Wall and the Black Lab","Adventure, Comedy, Mystery, Police, Shounen","OVA",1,7.66,7726
"2713",2728,2369,"Rental Magica","Fantasy, Mystery, Supernatural","TV",24,7.18,39806
"5885",5922,4095,"Chuumon no Ooi Ryouriten (1991)","Fantasy, Horror, Supernatural","Movie",1,6.31,2304
"8337",8420,19905,"Dai-chan, Daisuki.","Drama, School, Slice of Life","Movie",1,6.13,91
"5400",5430,3913,"Onikirimaru","Action, Demons, Martial Arts, Shounen","OVA",4,6.46,1174
"10164",10349,27571,"Sore Ike! Anpanman: Keito no Shiro no Christmas","Comedy, Fantasy, Kids","Special",1,5.44,67
"4256",4280,2224,"Hikari no Densetsu","Music, Romance, Shoujo, Sports","TV",19,6.76,2028
"3670",3694,8228,"Jigoku Sensei Nube: Gozen 0 toki Nube Shisu","Adventure, Comedy, Horror, School, Shounen, Supernatural","Movie",1,6.91,913
"7412",7464,32344,"Nana-iro Megane","Music","Music",1,5.4,90
"6167",6206,3813,"Gekkou no Pierce: Yumemi to Gin no Bara no Kishidan","Fantasy, Mystery, Romance, Shoujo","OVA",1,6.21,348
"7861",7929,6849,"Bouken Dankichi: Hyouryuu no Maki","Adventure","Movie",1,4.6,438
"3238",3260,1951,"Manie-Manie: Meikyuu Monogatari","Adventure, Fantasy, Horror, Sci-Fi, Supernatural","Movie",3,7.04,9568
"10299",10487,31486,"Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes","Comedy, Mystery, Super Power","Movie",1,6.62,1167
"7636",7694,3960,"Armored Core: Fort Tower Song","Action, Mecha, Sci-Fi","ONA",1,5.13,903
"8639",8740,19495,"Hakusai Anime","Comedy, Romance, School, Slice of Life","ONA",3,6.56,260
"4679",4703,6468,"Tensai Bakabon","Comedy, Slice of Life","TV",40,6.66,313
"4583",4607,2568,"Kojika Monogatari","Drama","TV",52,6.68,291
"8821",8930,16560,"Hwanggeum Nalgae 1.2.3.","Action, Mecha, Sci-Fi","Movie",1,4.52,99
"7753",7816,33042,"Zonmi-chan: Halloween☆Special Movie!","Comedy, Horror","ONA",1,4.94,276
"1987",1997,104,"Ayashi no Ceres","Adventure, Comedy, Drama, Horror, Psychological, Romance, Shoujo, Supernatural","TV",24,7.38,38336
"7845",7912,9342,"Twinkle Nora Rock Me!","Action, Sci-Fi","OVA",1,4.69,338
"6834",6881,9521,"Tie Shan Gongzhu","Action, Adventure, Fantasy","Movie",1,5.88,347
"5206",5234,1624,"To Heart 2 Special","Drama, Romance, School","Special",1,6.52,2599
"11445",11896,1404,"Flutter of Birds: Tori-tachi no Habataki","Hentai","OVA",2,5.93,1190
"10453",10645,16830,"Uju Jeonsa Hong Gildong","Action, Adventure, Kids, Sci-Fi, Space","Movie",1,4.58,63
"1812",1819,14753,"Hori-san to Miyamura-kun","Comedy, Romance, School, Shounen","OVA",3,7.43,26535
"8853",8964,34179,"Ima no Watashi ni Dekiru Koto...","Sci-Fi","ONA",2,5.4,234
"4589",4613,11083,"Nurarihyon no Mago: Sennen Makyou Recaps","Action, Demons, Shounen, Supernatural","Special",2,6.68,7095
"9157",9294,29738,"Konchuu Monogatari Tentoumu Chu! to Mitsubachi Hatsu Chu!","Music","TV",10,5.47,75
"2272",2284,1860,"Tokyo Majin Gakuen Kenpucho: Tou","Action, Drama, Fantasy, Horror, Martial Arts, School, Supernatural","TV",14,7.31,43632
"193",194,31051,"Kuroko no Basket: Saikou no Present Desu","Action, School, Shounen, Sports","Special",1,8.34,22900
"1476",1483,12711,"Uta no☆Prince-sama♪ Maji Love 2000%","Comedy, Harem, Music, Romance, School, Shoujo","TV",13,7.53,61551
"8175",8254,6568,"Bokura no Saibanin Monogatari","School","ONA",1,4.93,214
"1428",1435,24365,"Tonari no Seki-kun Specials","Comedy, School, Seinen","Special",2,7.55,14248
"1081",1086,1579,"Kiniro no Corda: Primo Passo","Comedy, Drama, Harem, Magic, Music, Romance, School, Shoujo","TV",25,7.69,63134
"6997",7045,5237,"Compiler Festa","Action, Drama, Sci-Fi","OVA",1,5.77,455
"8832",8942,9518,"Ichigo Ichie: Kimi no Kotoba","Comedy","TV",13,6.9,274
"4939",4966,14647,"Tantei Opera Milky Holmes: Alternative","Comedy, Mystery, Super Power","Special",2,6.59,3755
"9177",9315,33123,"Koto Nakare Hero Gingerman","Comedy","TV",12,3.8,39
"3416",3438,2772,"Juushin Enbu: Hero Tales","Action, Fantasy, Shounen","TV",26,6.99,16502
"10934",11375,3707,"Soukou Kijo Iris","Hentai","OVA",4,6.74,2958
"6693",6738,16405,"Boku no Imouto wa &quot;Osaka Okan&quot;","Comedy","TV",12,5.96,12917
"9161",9299,28885,"Konna Watashitachi ga Nariyuki de Heroine ni Natta Kekka www (TV): Heroine Kentei","Comedy, Fantasy","ONA",11,4.78,91
"10198",10383,21967,"Sore Ike! Anpanman: Yousei Rinrin no Himitsu","Comedy, Fantasy, Kids","Movie",1,5.88,74
"342",344,4772,"Aria The Origination: Sono Choppiri Himitsu no Basho ni...","Comedy, Shounen, Slice of Life","Special",1,8.16,11961
"11506",11957,2070,"Guy: Youma Kakusei","Action, Hentai, Sci-Fi, Space","OVA",2,5.84,888
"9377",9523,25085,"Meiken Lassie Specials","Adventure, Slice of Life","Special",2,6.38,69
"9452",9601,29387,"Momonga-mon","Adventure, Kids","TV",5,5.8,42
"8464",8556,19899,"Fujiko F. Fujio: Sukoshi Fushigi Tanpen Theater","Adventure, Sci-Fi, Shounen, Space","OVA",11,6.25,91
"4077",4101,12455,"Yuu☆Yuu☆Hakusho: Mu Mu Hakusho","Comedy","OVA",4,6.81,3670
